[<_MainThread(MainThread, started 37472)>]
stream closed? idk girl
Listening (audio thread)...
         340212 function calls (315214 primitive calls) in 22.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      110    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
        1    0.000    0.000    0.083    0.083 sounddevice.py:1109(__exit__)
        1    0.000    0.000    0.000    0.000 core.py:2017(Parameter)
        1    0.000    0.000    0.000    0.000 serving.py:158(WSGIRequestHandler)
      135    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 local.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.004    0.004 server.py:1(<module>)
        7    0.000    0.000    0.003    0.000 map.py:170(add)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1353(_get_parent_path)
        1    0.000    0.000    0.001    0.001 aifc.py:1(<module>)
        1    0.000    0.000    0.007    0.007 overrides.py:1(<module>)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        1    0.000    0.000    0.048    0.048 __config__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 loaders.py:1(<module>)
        1    0.000    0.000    0.001    0.001 osc_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 app.py:81(Flask)
        8    0.000    0.000    0.001    0.000 dataclasses.py:627(_repr_fn)
        1    0.000    0.000    0.003    0.003 helpers.py:1(<module>)
       12    0.000    0.000    0.000    0.000 typing.py:1874(__init__)
        7    0.000    0.000    0.000    0.000 getlimits.py:685(__init__)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
       11    0.000    0.000    0.000    0.000 decorators.py:364(decorator)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        8    0.000    0.000    0.000    0.000 dataclasses.py:250(_recursive_repr)
       29    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:365(_sanity_check)
       29    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        7    0.000    0.000    0.000    0.000 _compiler.py:396(_bytes_to_codes)
        3    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2332(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 bccache.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
       82    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
       81    0.000    0.000    0.000    0.000 __init__.py:25(decorator)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:443(__setattr__)
        1    0.000    0.000    0.000    0.000 test.py:178(EnvironBuilder)
        1    0.000    0.000    0.001    0.001 base.py:24(Signal)
       21    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
        1    0.000    0.000    0.000    0.000 utils.py:106(LazyFile)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        5    0.000    0.000    0.000    0.000 gettext.py:224(_expand_lang)
        1    0.000    0.000    0.007    0.007 sessions.py:1(<module>)
        1    0.000    0.000    0.006    0.006 tempfile.py:1(<module>)
        1    0.000    0.000    0.001    0.001 serializer.py:1(<module>)
        6    0.000    0.000    0.000    0.000 functools.py:855(register)
        1    0.000    0.000    0.000    0.000 ntp.py:1(<module>)
        5    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        1    0.000    0.000    0.000    0.000 tests.py:1(<module>)
       84    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        4    0.000    0.000    0.000    0.000 __init__.py:343(__init__)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        3    0.000    0.000    0.000    0.000 functools.py:803(singledispatch)
       19    0.000    0.000    0.000    0.000 __init__.py:19(_simple_escaping_wrapper)
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 cache_control.py:1(<module>)
        1    0.000    0.000    0.000    0.000 app.py:282(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        4    0.000    0.000    0.000    0.000 core.py:334(serialize_option)
        1    0.000    0.000    0.023    0.023 platform.py:447(win32_ver)
        1    0.000    0.000    0.000    0.000 wintypes.py:155(WIN32_FIND_DATAW)
        7    0.000    0.000    0.000    0.000 _legacy.py:15(deprecated)
        5    0.000    0.000    0.000    0.000 inspect.py:2124(_signature_bound_method)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
       81    0.000    0.000    0.000    0.000 __init__.py:14(set_module)
        1    0.000    0.000    0.007    0.007 accept.py:1(<module>)
        5    0.000    0.000    0.001    0.000 dataclasses.py:638(_frozen_get_del_attr)
        1    0.000    0.000    0.000    0.000 extension.py:164(init_app)
       10    0.000    0.000    0.000    0.000 enum.py:951(_check_for_existing_members_)
       19    0.000    0.000    0.000    0.000 functools.py:482(lru_cache)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
        1    0.000    0.000    0.001    0.001 app.py:226(__init__)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       16    0.000    0.000    0.000    0.000 __init__.py:389(__getattr__)
        1    0.000    0.000    0.000    0.000 win32.py:118(GetConsoleScreenBufferInfo)
      163    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        8    0.000    0.000    0.005    0.001 dataclasses.py:1264(wrap)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       85    0.000    0.000    0.000    0.000 fromnumeric.py:3380(_mean_dispatcher)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _pickle.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:2145(runtime_checkable)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.025    0.025 sounddevice.py:1408(__init__)
       20    0.000    0.000    0.000    0.000 compiler.py:45(optimizeconst)
       36    0.000    0.000    0.000    0.000 getlimits.py:16(_fr0)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
        1    0.000    0.000    0.000    0.000 scaffold.py:52(Scaffold)
       24    0.000    0.000    0.000    0.000 typing.py:2004(<genexpr>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
        1    0.000    0.000    0.004    0.004 udp_client.py:22(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       64    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
        1    0.000    0.000    0.000    0.000 logging.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 client.py:819(HTTPConnection)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
        2    0.000    0.000    0.000    0.000 {method 'new' of '_cffi_backend.FFI' objects}
       14    0.000    0.000    0.000    0.000 _compiler.py:412(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 timed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:441(_construct_lookups)
        1    0.000    0.000    0.017    0.017 defmatrix.py:1(<module>)
       61    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 platform.py:692(architecture)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
       78    0.000    0.000    0.000    0.000 _internal.py:883(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        1    0.000    0.000    0.000    0.000 socketserver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1180(_Unpickler)
        1    0.000    0.000    0.000    0.000 headers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:299(_MarkupEscapeHelper)
       84    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       37    0.000    0.000    0.000    0.000 <frozen os>:777(check_str)
       20    0.000    0.000    0.000    0.000 parser.py:111(split_opt)
        9    0.000    0.000    0.000    0.000 compiler.py:61(_make_binop)
       21    0.000    0.000    0.000    0.000 types.py:1003(convert_type)
       58    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       28    0.000    0.000    0.000    0.000 typing.py:1097(<genexpr>)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        4    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:2219(get_type_hints)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 osc_message_builder.py:15(OscMessageBuilder)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        6    0.000    0.000    0.000    0.000 abc.py:41(_register)
       58    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
        1    0.000    0.000    0.000    0.000 core.py:837(BaseCommand)
        1    0.000    0.000    0.001    0.001 file_storage.py:1(<module>)
       33    0.000    0.000    0.000    0.000 ast.py:34(parse)
       15    0.000    0.000    0.000    0.000 inspect.py:2030(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.019    0.019 feedparser.py:1(<module>)
       14    0.000    0.000    0.000    0.000 inspect.py:1463(formatannotation)
       58    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 mimetypes.py:402(_default_mime_types)
        1    0.000    0.000    0.001    0.001 core.py:1790(Group)
        1    0.000    0.000    0.000    0.000 runtime.py:144(Context)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
        1    0.000    0.000    0.000    0.000 response.py:39(Response)
       17    0.000    0.000    0.000    0.000 structures.py:1218(__getattr__)
        3    0.000    0.000    0.000    0.000 decorators.py:212(decorator)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 signals.py:1(<module>)
        1    0.000    0.000    0.003    0.003 matcher.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:292(PurePath)
        1    0.000    0.000    0.000    0.000 nodes.py:105(Node)
       11    0.000    0.000    0.000    0.000 inspect.py:754(unwrap)
        1    0.000    0.000    0.000    0.000 runtime.py:392(LoopContext)
        1    0.000    0.000    0.005    0.005 defaults.py:1(<module>)
        5    0.000    0.000    0.000    0.000 core.py:1206(__init__)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
       24    0.000    0.000    0.000    0.000 numerictypes.py:514(_scalar_type_key)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.001    0.001 message.py:135(Message)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x000001AA46D6DEE0}
        1    0.000    0.000    0.000    0.000 tag.py:1(<module>)
       29    0.000    0.000    0.000    0.000 __init__.py:255(escape)
        1    0.000    0.000    0.000    0.000 wave.py:217(Wave_read)
        1    0.000    0.000    0.001    0.001 _sounddevice.py:1(<module>)
        1    0.000    0.000    0.001    0.001 wsgi.py:1(<module>)
        1    0.000    0.000    0.001    0.001 formatting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoding.py:1(<module>)
      117    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       39    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
       24    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       10    0.000    0.000    0.000    0.000 _functools.py:75(wrapper)
       40    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
      118    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        4    0.000    0.000    0.000    0.000 pathlib.py:484(_str_normcase)
        1    0.000    0.000    0.009    0.009 udp_client.py:1(<module>)
        3    0.000    0.000    0.000    0.000 typing.py:381(decorator)
        1    0.000    0.000    0.000    0.000 headers.py:20(Headers)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1885(_split_scope_id)
        7    0.000    0.000    0.000    0.000 local.py:478(__init__)
        1    0.000    0.000    0.000    0.000 core.py:2452(Option)
        3    0.000    0.000    0.000    0.000 {built-in method _ctypes.LoadLibrary}
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6754(refer_to_array_attribute)
        7    0.000    0.000    0.003    0.000 rules.py:566(bind)
        1    0.000    0.000    0.000    0.000 pathlib.py:824(Path)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:943(SSLSocket)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
       25    0.000    0.000    0.000    0.000 csp.py:9(csp_property)
        7    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
        5    0.000    0.000    0.000    0.000 gettext.py:519(translation)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
        1    0.000    0.000    0.003    0.003 ansitowin32.py:1(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:1(<module>)
       10    0.000    0.000    0.000    0.000 inspect.py:1806(_check_class)
        2    0.000    0.000    0.000    0.000 core.py:355(serialize_options)
        1    0.000    0.000    0.012    0.012 py3k.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
        1    0.000    0.000    0.002    0.002 message.py:1(<module>)
        1    0.000    0.000    0.002    0.002 provider.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:1164(Command)
        1    0.000    0.000    0.000    0.000 __init__.py:365(Distribution)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
        2    0.000    0.000    0.000    0.000 charset.py:206(__init__)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.017    0.017 _policybase.py:1(<module>)
       38    0.000    0.000    0.000    0.000 ansi.py:12(code_to_chars)
       10    0.000    0.000    0.000    0.000 inspect.py:1832(_shadowed_dict)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       42    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
        5    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
      106    0.000    0.000    0.000    0.000 __init__.py:109(<lambda>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        4    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        4    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.150    0.150 decorator.py:1(<module>)
       28    0.000    0.000    0.000    0.000 rules.py:793(_join)
        1    0.000    0.000    0.000    0.000 nodes.py:1001(Or)
        4    0.000    0.000    0.000    0.000 __init__.py:373(_FuncPtr)
        1    0.000    0.000    0.000    0.000 scaffold.py:754(find_package)
        1    0.000    0.000    0.003    0.003 __init__.py:71(search_function)
       13    0.000    0.000    0.000    0.000 core.py:8406(_replace_return_type)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       12    0.000    0.000    0.000    0.000 __init__.py:179(sub)
      100    0.000    0.000    0.000    0.000 enum.py:936(<lambda>)
       14    0.000    0.000    0.000    0.000 __init__.py:145(_check_size)
        1    0.000    0.000    0.000    0.000 sounddevice.py:727(_StreamBase)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
        1    0.000    0.000    0.001    0.001 idtracking.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        6    0.000    0.000    0.000    0.000 {built-in method maketrans}
        1    0.000    0.000    0.000    0.000 scaffold.py:75(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:123(_add_integer_aliases)
        2    0.000    0.000    0.000    0.000 {built-in method nt.dup2}
       10    0.000    0.000    0.000    0.000 inspect.py:1845(getattr_static)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
       26    0.000    0.000    0.000    0.000 core.py:6855(__init__)
        6    0.000    0.000    0.001    0.000 inspect.py:3081(from_callable)
        1    0.000    0.000    0.023    0.023 platform.py:385(_win32_ver)
        1    0.000    0.000    0.000    0.000 subprocess.py:751(Popen)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _meta.py:8(PackageMetadata)
        1    0.000    0.000    0.000    0.000 _utilities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wrappers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        9    0.000    0.000    0.000    0.000 inspect.py:2830(__str__)
       18    0.000    0.000    0.000    0.000 utils.py:89(internalcode)
        1    0.000    0.000    0.000    0.000 blueprints.py:119(Blueprint)
        2    0.000    0.000    0.000    0.000 core.py:290(get_cors_options)
        1    0.000    0.000    0.002    0.002 idna.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method callback_decorator}
        1    0.000    0.000    0.000    0.000 _machar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.008    0.008 dispatcher.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 async_utils.py:1(<module>)
       76    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 index_tricks.py:310(AxisConcatenator)
       11    0.000    0.000    0.000    0.000 decorators.py:305(_param_memo)
        1    0.000    0.000    0.000    0.000 __init__.py:105(_delvewheel_patch_1_5_2)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 mixins.py:23(ImmutableListMixin)
        1    0.000    0.000    0.000    0.000 converters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 types.py:24(ParamType)
        9    0.000    0.000    0.000    0.000 __init__.py:183(__new__)
        1    0.000    0.000    0.003    0.003 osc_packet.py:1(<module>)
        6    0.000    0.000    0.003    0.000 scaffold.py:360(decorator)
       44    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1914(IPv6Address)
        1    0.000    0.000    0.000    0.000 ssl.py:422(SSLContext)
        1    0.000    0.000    0.000    0.000 security.py:1(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        4    0.000    0.000    0.000    0.000 typing.py:1466(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:685(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
        1    0.000    0.000    0.000    0.000 signer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:39(EigResult)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
        1    0.000    0.000    0.000    0.000 core.py:1481(MultiCommand)
        1    0.000    0.000    0.000    0.000 sounddevice.py:1869(CallbackFlags)
        7    0.000    0.000    0.000    0.000 converters.py:29(__init_subclass__)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.007    0.007 secrets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:96(_localized_month)
        6    0.000    0.000    0.000    0.000 sounddevice.py:2756(_split)
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        9    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
        1    0.000    0.000    0.000    0.000 {built-in method nt.open}
       29    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:73(matrix)
       32    0.000    0.000    0.000    0.000 _internal.py:128(__init__)
        1    0.000    0.000    0.003    0.003 initialise.py:1(<module>)
       39    0.000    0.000    0.000    0.000 enum.py:1286(value)
        5    0.000    0.000    0.000    0.000 _internal.py:632(consume_until)
       13    0.000    0.000    0.000    0.000 mixins.py:44(_numeric_methods)
        1    0.000    0.000    0.000    0.000 csp.py:22(ContentSecurityPolicy)
       10    0.000    0.000    0.000    0.000 enum.py:980(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:211(_set_array_types)
        1    0.000    0.000    0.000    0.000 laguerre.py:1606(Laguerre)
        4    0.000    0.000    0.003    0.001 urls.py:29(_make_unquote_part)
        7    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        5    0.000    0.000    0.000    0.000 warnings.py:184(_add_filter)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(Message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1336(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
        3    0.000    0.000    0.000    0.000 warnings.py:133(filterwarnings)
       12    0.000    0.000    0.000    0.000 sounddevice.py:2047(__getitem__)
        1    0.000    0.000    0.000    0.000 structures.py:1059(HeaderSet)
        1    0.000    0.000    0.000    0.000 utils.py:76(_PassArg)
        1    0.000    0.000    0.000    0.000 extension.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:822(__members__)
       24    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:420(LRUCache)
        1    0.000    0.000    0.000    0.000 rules.py:330(Rule)
       15    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
       38    0.000    0.000    0.000    0.000 enum.py:93(_is_single_bit)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
        1    0.000    0.000    0.000    0.000 client.py:1506(IncompleteRead)
        5    0.000    0.000    0.000    0.000 types.py:803(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:1388(_iter_member_by_value_)
        2    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
       28    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
        1    0.000    0.000    0.005    0.005 platform.py:768(_get_machine_win32)
        1    0.000    0.000    0.000    0.000 legendre.py:1619(Legendre)
        7    0.000    0.000    0.000    0.000 core.py:2544(_arraymethod)
        2    0.000    0.000    0.000    0.000 sounddevice.py:2212(_default_device)
        1    0.000    0.000    0.000    0.000 types.py:768(Path)
        1    0.000    0.000    0.000    0.000 types.py:643(File)
        1    0.000    0.000    0.000    0.000 cli.py:563(__init__)
        1    0.000    0.000    0.000    0.000 _dtype.py:346(_name_get)
        2    0.000    0.000    0.000    0.000 core.py:2952(_update_from)
        1    0.000    0.000    0.000    0.000 calendar.py:449(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 __init__.py:189(Path)
        5    0.000    0.000    0.000    0.000 gettext.py:578(dgettext)
        1    0.000    0.000    0.000    0.000 linalg.py:47(QRResult)
        1    0.000    0.000    0.000    0.000 pathlib.py:690(is_relative_to)
       10    0.000    0.000    0.001    0.000 extras.py:233(__init__)
       28    0.000    0.000    0.000    0.000 typing_extensions.py:423(_is_dunder)
       29    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
        5    0.000    0.000    0.000    0.000 typing.py:650(ClassVar)
       22    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:1077(poly1d)
        1    0.000    0.000    0.000    0.000 linalg.py:97(_determine_error_states)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multipart.py:54(State)
        1    0.000    0.000    0.000    0.000 _meta.py:1(<module>)
        6    0.000    0.000    0.001    0.000 inspect.py:3343(signature)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _internal.py:652(_dtype_from_pep3118)
        1    0.000    0.000    0.000    0.000 dispatcher.py:85(Dispatcher)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:469(__new__)
        1    0.000    0.000    0.000    0.000 defchararray.py:1922(chararray)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.000    0.000 openai.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idtracking.py:30(Symbols)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        8    0.000    0.000    0.001    0.000 dataclasses.py:661(_cmp_fn)
       25    0.000    0.000    0.000    0.000 inspect.py:3076(<genexpr>)
